T [K] - Wyniki	P [W] - Wyniki	T [K] - Krzywa dopasowania	P [W] - Krzywa dopasowania	
		1837,38	0,00129121	
		1838,38	0,001294	
		1839,38	0,0012968	
		1840,38	0,0012996	
		1841,38	0,00130241	
		1842,38	0,00130522	
		1843,38	0,00130803	
		1844,38	0,00131085	
		1845,38	0,00131368	
		1846,38	0,00131651	
		1847,38	0,00131934	
		1848,38	0,00132218	
		1849,38	0,00132502	
		1850,38	0,00132787	
		1851,38	0,00133072	
		1852,38	0,00133357	
		1853,38	0,00133643	
		1854,38	0,0013393	
		1855,38	0,00134217	
		1856,38	0,00134504	
		1857,38	0,00134792	
		1858,38	0,00135081	
		1859,38	0,00135369	
		1860,38	0,00135659	
		1861,38	0,00135948	
		1862,38	0,00136239	
		1863,38	0,00136529	
		1864,38	0,0013682	
		1865,38	0,00137112	
		1866,38	0,00137404	
		1867,38	0,00137697	
		1868,38	0,0013799	
		1869,38	0,00138283	
		1870,38	0,00138577	
		1871,38	0,00138871	
		1872,38	0,00139166	
		1873,38	0,00139462	
		1874,38	0,00139757	
		1875,38	0,00140054	
		1876,38	0,0014035	
		1877,38	0,00140648	
		1878,38	0,00140945	
		1879,38	0,00141243	
		1880,38	0,00141542	
		1881,38	0,00141841	
		1882,38	0,00142141	
		1883,38	0,00142441	
		1884,38	0,00142741	
		1885,38	0,00143042	
		1886,38	0,00143344	
		1887,38	0,00143645	
		1888,38	0,00143948	
		1889,38	0,00144251	
		1890,38	0,00144554	
		1891,38	0,00144858	
		1892,38	0,00145162	
		1893,38	0,00145467	
		1894,38	0,00145772	
		1895,38	0,00146078	
		1896,38	0,00146384	
		1897,38	0,00146691	
		1898,38	0,00146998	
		1899,38	0,00147306	
		1900,38	0,00147614	
		1901,38	0,00147923	
		1902,38	0,00148232	
		1903,38	0,00148541	
		1904,38	0,00148851	
		1905,38	0,00149162	
		1906,38	0,00149473	
		1907,38	0,00149785	
		1908,38	0,00150097	
		1909,38	0,00150409	
		1910,38	0,00150722	
		1911,38	0,00151036	
		1912,38	0,0015135	
		1913,38	0,00151664	
		1914,38	0,00151979	
		1915,38	0,00152294	
		1916,38	0,0015261	
		1917,38	0,00152927	
		1918,38	0,00153244	
		1919,38	0,00153561	
		1920,38	0,00153879	
		1921,38	0,00154197	
		1922,38	0,00154516	
		1923,38	0,00154836	
		1924,38	0,00155155	
		1925,38	0,00155476	
		1926,38	0,00155797	
		1927,38	0,00156118	
		1928,38	0,0015644	
		1929,38	0,00156762	
		1930,38	0,00157085	
		1931,38	0,00157408	
		1932,38	0,00157732	
		1933,38	0,00158056	
		1934,38	0,00158381	
		1935,38	0,00158707	
		1936,38	0,00159032	
		1937,38	0,00159359	
		1938,38	0,00159686	
		1939,38	0,00160013	
		1940,38	0,00160341	
		1941,38	0,00160669	
		1942,38	0,00160998	
		1943,38	0,00161327	
		1944,38	0,00161657	
		1945,38	0,00161987	
		1946,38	0,00162318	
		1947,38	0,0016265	
		1948,38	0,00162981	
		1949,38	0,00163314	
		1950,38	0,00163647	
		1951,38	0,0016398	
		1952,38	0,00164314	
		1953,38	0,00164648	
		1954,38	0,00164983	
		1955,38	0,00165319	
		1956,38	0,00165654	
		1957,38	0,00165991	
		1958,38	0,00166328	
		1959,38	0,00166665	
		1960,38	0,00167003	
		1961,38	0,00167342	
		1962,38	0,00167681	
		1963,38	0,0016802	
		1964,38	0,0016836	
		1965,38	0,00168701	
		1966,38	0,00169042	
		1967,38	0,00169383	
		1968,38	0,00169725	
		1969,38	0,00170068	
		1970,38	0,00170411	
		1971,38	0,00170755	
		1972,38	0,00171099	
		1973,38	0,00171444	
		1974,38	0,00171789	
		1975,38	0,00172135	
		1976,38	0,00172481	
		1977,38	0,00172827	
		1978,38	0,00173175	
		1979,38	0,00173523	
		1980,38	0,00173871	
		1981,38	0,0017422	
		1982,38	0,00174569	
		1983,38	0,00174919	
